dst_address_id_group,count,currency
20476,503610,BTC
19513,503042,BTC
25777,502399,BTC
11644,13018386,BCH
2634,7763733,BCH
3464,6849407,BCH
11546,5469923,BCH
11645,4903875,BCH
140,2560444,BCH
3465,2332091,BCH
11545,2264508,BCH
3335,1985220,BCH
3689,1963989,BCH
11643,1625322,BCH
12357,1467340,BCH
12337,1370067,BCH
11494,1365596,BCH
12358,1363275,BCH
12453,1347461,BCH
12362,1329744,BCH
12359,1314566,BCH
3371,1304651,BCH
12360,1302149,BCH
12455,1292052,BCH
12338,1271269,BCH
12354,1245017,BCH
12385,1241887,BCH
12365,1214382,BCH
12366,1210521,BCH
12353,1202859,BCH
12428,1198935,BCH
12369,1195221,BCH
12363,1186688,BCH
12457,1185312,BCH
12370,1160734,BCH
12371,1157461,BCH
12361,1152322,BCH
12368,1146144,BCH
12351,1132887,BCH
12356,1128276,BCH
12367,1119022,BCH
12384,1117299,BCH
12454,1115882,BCH
12343,1103066,BCH
12403,1100069,BCH
12461,1089523,BCH
12339,1085110,BCH
12355,1067468,BCH
1275,1066442,BCH
12349,1056799,BCH
12376,1055404,BCH
12375,1046403,BCH
141,1046292,BCH
12429,1044087,BCH
12027,1030987,BCH
12553,1029639,BCH
12364,1015031,BCH
12459,1012042,BCH
12552,1001998,BCH
12550,991678,BCH
12554,973743,BCH
12352,965455,BCH
12348,964229,BCH
12458,952224,BCH
12344,943955,BCH
12574,940829,BCH
12547,936296,BCH
12575,932088,BCH
12342,926284,BCH
12577,926228,BCH
12393,917952,BCH
12374,913154,BCH
12404,908435,BCH
12595,906043,BCH
12389,904794,BCH
12548,904124,BCH
3788,895977,BCH
12466,886125,BCH
12346,885923,BCH
12350,883211,BCH
12544,876874,BCH
12452,873883,BCH
1274,873820,BCH
12463,869217,BCH
12456,862086,BCH
12492,860230,BCH
12576,859312,BCH
12386,856917,BCH
12484,850841,BCH
12557,848715,BCH
12423,846455,BCH
12444,846320,BCH
12418,842405,BCH
12511,841570,BCH
12525,841155,BCH
12340,838924,BCH
12590,837649,BCH
12460,831741,BCH
12433,826786,BCH
12581,824660,BCH
12430,824351,BCH
12380,822558,BCH
12419,821892,BCH
12509,821773,BCH
12549,821674,BCH
12347,818044,BCH
12427,814190,BCH
